Name,Jname,Glitch #,Time of glitch (MJD),Error in time (days),dF/F (10^-9),Error in dF/F (10^-9),dF1/F1 (10^-3),Error in dF1/F1 (10^-3),Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs),dF0 (Hz),dF1 (Hz/s)
J0205+6449,J0205+6449,9,58320.0,97,3140.0,50,20.0,3,130.719,3.0839999999999996,31.4080103,64.82814839999999,0.065715928,1.94E-13,15.2170109,-4.49e-11,5.85E-21,3.2,5.37E+03,47781.414226,-8.98e-10
B0355+54,J0358+5413,1,46082.0,4,6.0,1,6.0,5,148.19,0.8109999999999999,59.72384920000001,54.2204956,0.156384122,4.39E-15,6.394511093,-1.8e-13,4.10E-25,1,5.64E+05,38.367066558000005,-1.0799999999999998e-12
B0355+54,J0358+5413,2,46470.0,18,4366.0,1,430.0,154,148.19,0.8109999999999999,59.72384920000001,54.2204956,0.156384122,4.39E-15,6.394511093,-1.8e-13,4.10E-25,1,5.64E+05,27918.435432038,-7.74e-11
B0402+61,J0406+6138,1,53041.0,6,0.62,0.04,0.5,0.1,144.025,7.046,61.6253358,61.6448356,0.594576165,5.57E-15,1.681870312,-1.58e-14,*,4.545,1.69E+06,1.04275959344,-7.9e-15
B0458+46,J0502+4654,1,52616.0,2,0.33,0.02,0.7,0.2,160.363,3.077,75.51900400000001,46.90169,0.638565482,5.58E-15,1.56601011,-1.37e-14,1.13E-26,1.319,1.81E+06,0.5167833363,-9.589999999999998e-15
B0523+11,J0525+1115,1,56010.4,0.5,0.312,0.002,0.6,0.2,192.695,-13.245999999999999,81.485201,11.2553,0.354437595,7.36E-17,2.82137114,-5.86e-16,-3.30E-28,1.841,7.63E+07,0.88026779568,-3.516e-16
B0525+21,J0528+2200,1,42051.5,0.3,1.9,0.2,13.0,5,183.856,-6.896,82.21777,22.0011,3.74553925,4.01E-14,0.266984253,-2.86e-15,*,1.215,1.48E+06,0.5072700807,-3.718e-14
B0525+21,J0528+2200,2,52296.0,1,2.3,0.2,7.0,2,183.856,-6.896,82.21777,22.0011,3.74553925,4.01E-14,0.266984253,-2.86e-15,*,1.215,1.48E+06,0.6140637819,-2.002e-14
B0525+21,J0528+2200,4,53980.0,12,0.5,0.1,0.1,0.1,183.856,-6.896,82.21777,22.0011,3.74553925,4.01E-14,0.266984253,-2.86e-15,*,1.215,1.48E+06,0.1334921265,-2.86e-16
B0531+21,J0534+2200,1,40491.8,0.03,7.2,0.4,0.44,0.04,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,215.6178456,-1.6632e-10
B0531+21,J0534+2200,2,41161.98,0.04,1.9,0.1,0.17,0.01,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,56.8991537,-6.426e-11
B0531+21,J0534+2200,3,41250.32,0.01,2.1,0.1,0.11,0.01,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,62.88853830000001,-4.158e-11
B0531+21,J0534+2200,4,42447.26,0.04,35.7,0.3,1.6,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,1069.1051511,-6.048e-10
B0531+21,J0534+2200,5,46663.69,0.03,6.0,1,0.5,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,179.68153800000002,-1.89e-10
B0531+21,J0534+2200,6,47767.504,0.003,81.0,0.4,3.4,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,2425.7007630000003,-1.2851999999999999e-09
B0531+21,J0534+2200,7,48945.6,0.1,4.2,0.2,0.32,0.03,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,125.77707660000002,-1.2096e-10
B0531+21,J0534+2200,8,50020.04,0.02,2.1,0.1,0.2,0.01,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,62.88853830000001,-7.56e-11
B0531+21,J0534+2200,9,50260.030999999995,0.004,31.9,0.1,1.73,0.03,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,955.3068437000001,-6.5394e-10
B0531+21,J0534+2200,10,50458.94,0.03,6.1,0.4,1.1,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,182.6762303,-4.158e-10
B0531+21,J0534+2200,11,50489.7,0.2,0.8,0.3,-0.2,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,23.957538400000004,7.56e-11
B0531+21,J0534+2200,12,50812.59,0.01,6.2,0.2,0.62,0.04,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,185.6709226,-2.3436e-10
B0531+21,J0534+2200,13,51452.02,0.01,6.8,0.2,0.7,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,203.6390764,-2.646e-10
B0531+21,J0534+2200,14,51740.655999999995,0.002,25.1,0.3,2.9,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,751.6677673,-1.0962e-09
B0531+21,J0534+2200,15,51804.75,0.02,3.5,0.1,0.53,0.03,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,104.81423050000001,-2.0034e-10
B0531+21,J0534+2200,16,52084.072,0.001,22.6,0.1,2.07,0.03,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,676.8004598000001,-7.824599999999999e-10
B0531+21,J0534+2200,17,52146.758,0.0003,8.9,0.1,0.57,0.01,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,266.5276147,-2.1545999999999997e-10
B0531+21,J0534+2200,18,52498.257000000005,0.002,3.4,0.1,0.7,0.02,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,101.8195382,-2.646e-10
B0531+21,J0534+2200,19,52587.2,0.01,1.7,0.1,0.5,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,50.9097691,-1.89e-10
B0531+21,J0534+2200,20,53067.078,0.0002,214.0,1,6.2,0.2,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,6408.641522000001,-2.3436e-09
B0531+21,J0534+2200,21,53254.109000000004,0.002,4.9,0.1,0.2,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,146.73992270000002,-7.56e-11
B0531+21,J0534+2200,22,53331.17,0.01,2.8,0.2,0.7,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,83.8513844,-2.646e-10
B0531+21,J0534+2200,23,53970.19,0.0003,21.8,0.2,3.1,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,652.8429214,-1.1718e-09
B0531+21,J0534+2200,24,54580.38,0.01,4.7,0.1,0.2,0.1,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,140.7505381,-7.56e-11
B0531+21,J0534+2200,25,55875.49,0.03,39.0,4,0.23,0.02,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,1167.929997,-8.694e-11
B0531+21,J0534+2200,27,58064.555,0.003,516.37,0.1,6.969,0.021,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,15463.69262951,-2.634282e-09
B0531+21,J0534+2200,28,58237.357,0.005,4.08,0.22,0.46,0.11,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,122.18344584,-1.7388e-10
B0531+21,J0534+2200,30,58687.565,0.004,31.7,1.2,0.341,0.033,184.558,-5.784,83.63322,22.014460999999997,0.033392412,4.21E-13,29.946923,-3.78e-10,1.11E-20,2,1.26E+03,949.3174591000001,-1.28898e-10
J0537-6910,J0537-6910,1,51278.0,16,687.0,3,1.0,1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,42611.9922552,-1.99e-10
J0537-6910,J0537-6910,2,51562.0,15,450.0,3,0.7,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,27911.785320000003,-1.393e-10
J0537-6910,J0537-6910,3,51711.0,5,315.0,1,0.6,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,19538.249724,-1.194e-10
J0537-6910,J0537-6910,4,51826.0,8,140.0,1,0.5,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,8683.666544,-9.95e-11
J0537-6910,J0537-6910,5,51881.0,6,140.0,1,0.7,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,8683.666544,-1.393e-10
J0537-6910,J0537-6910,6,51960.0,5,454.0,5,0.8,0.5,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,28159.8900784,-1.5920000000000003e-10
J0537-6910,J0537-6910,8,52170.0,5,184.0,1,0.8,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,11412.8188864,-1.5920000000000003e-10
J0537-6910,J0537-6910,9,52241.0,12,426.0,1,0.2,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,26423.156769600002,-3.980000000000001e-11
J0537-6910,J0537-6910,10,52378.0,11,168.0,1,0.4,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,10420.399852800001,-7.960000000000001e-11
J0537-6910,J0537-6910,11,52453.0,7,218.0,1,0.4,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,13521.709332800001,-7.960000000000001e-11
J0537-6910,J0537-6910,12,52545.0,6,420.0,2,0.5,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,26050.999632,-9.95e-11
J0537-6910,J0537-6910,13,52731.0,14,146.0,3,0.6,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,9055.8236816,-1.194e-10
J0537-6910,J0537-6910,14,52807.0,15,255.0,3,0.6,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,15816.678348000001,-1.194e-10
J0537-6910,J0537-6910,15,52886.0,3,234.6,0.3,0.44,0.05,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,14551.34408016,-8.756e-11
J0537-6910,J0537-6910,16,53014.0,6,338.0,1,0.7,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,20964.8520848,-1.393e-10
J0537-6910,J0537-6910,17,53125.5,0.1,17.0,1,0.4,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,1054.4452232,-7.960000000000001e-11
J0537-6910,J0537-6910,18,53145.0,2,391.1,0.2,0.19,0.04,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,24258.442752560004,-3.781e-11
J0537-6910,J0537-6910,19,53288.0,3,395.0,1,0.7,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,24500.344892,-1.393e-10
J0537-6910,J0537-6910,20,53445.0,2,260.0,1,0.9,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,16126.809296000001,-1.791e-10
J0537-6910,J0537-6910,21,53550.0,2,321.0,1,0.7,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,19910.4068616,-1.393e-10
J0537-6910,J0537-6910,22,53696.0,14,409.0,3,0.7,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,25368.7115464,-1.393e-10
J0537-6910,J0537-6910,23,53861.0,1,235.0,1,0.8,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,14576.154556000001,-1.5920000000000003e-10
J0537-6910,J0537-6910,24,53951.3,0.3,18.0,1,0.3,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,1116.4714128,-5.97e-11
J0537-6910,J0537-6910,25,53999.0,3,352.0,1,0.4,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,21833.2187392,-7.960000000000001e-11
J0537-6910,J0537-6910,26,54094.0,5,371.0,2,0.1,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,23011.7163416,-1.9900000000000004e-11
J0537-6910,J0537-6910,28,54271.0,2,488.0,1,0.8,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,30268.7805248,-1.5920000000000003e-10
J0537-6910,J0537-6910,29,54448.0,7,239.0,1,0.8,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,14824.2593144,-1.5920000000000003e-10
J0537-6910,J0537-6910,30,54538.0,4,114.0,1,0.5,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,7070.9856144000005,-9.95e-11
J0537-6910,J0537-6910,31,54578.0,5,147.0,1,0.0,1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,9117.8498712,-0.0
J0537-6910,J0537-6910,32,54639.0,2,128.7,0.5,0.4,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,7982.770601519999,-7.960000000000001e-11
J0537-6910,J0537-6910,33,54712.0,2,105.0,1,0.5,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,6512.749908,-9.95e-11
J0537-6910,J0537-6910,34,54767.0,4,362.0,1,0.6,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,22453.4806352,-1.194e-10
J0537-6910,J0537-6910,35,54895.0,9,341.0,1,0.5,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,21150.9306536,-9.95e-11
J0537-6910,J0537-6910,36,55043.0,2,217.0,0.5,0.8,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,13459.6831432,-1.5920000000000003e-10
J0537-6910,J0537-6910,37,55184.0,2,209.0,1,1.1,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,12963.4736264,-2.1890000000000004e-10
J0537-6910,J0537-6910,38,55280.0,4,549.0,3,0.3,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,34052.3780904,-5.97e-11
J0537-6910,J0537-6910,39,55451.0,7,169.0,1,0.4,0.1,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,10482.4260424,-7.960000000000001e-11
J0537-6910,J0537-6910,40,55519.0,2,122.0,1,0.4,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,7567.1951312,-7.960000000000001e-11
J0537-6910,J0537-6910,41,55552.0,2,8.0,2,-2.0,2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,496.2095168,3.98e-10
J0537-6910,J0537-6910,42,55587.0,2,87.0,2,1.0,4,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,5396.2784952,-1.99e-10
J0537-6910,J0537-6910,43,55615.0,4,453.0,2,0.2,0.5,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,28097.863888800002,-3.980000000000001e-11
J0537-6910,J0537-6910,44,55786.1,0.1,14.0,1,-0.2,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,868.3666544,3.980000000000001e-11
J0537-6910,J0537-6910,45,55819.0,2,346.0,1,0.9,0.4,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,21461.061601600002,-1.791e-10
J0537-6910,J0537-6910,46,58083.0,25,260.51,0.03,0.75,0.15,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,16158.442652696,-1.4925e-10
J0537-6910,J0537-6910,47,58152.0,11,581.94,0.1,0.8,0.15,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,36095.52077582401,-1.5920000000000003e-10
J0537-6910,J0537-6910,48,58363.0,14,126.5,0.8,1.2,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,7846.3129844000005,-2.388e-10
J0537-6910,J0537-6910,49,58424.0,2,409.0,5,1.0,0.5,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,25368.7115464,-1.99e-10
J0537-6910,J0537-6910,50,58566.0,5,148.7,0.3,0.45,0.03,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,9223.29439352,-8.955e-11
J0537-6910,J0537-6910,51,58637.0,8,435.92,0.16,0.43,0.02,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,27038.456570432,-8.557000000000001e-11
J0537-6910,J0537-6910,52,58807.0,3,122.3,0.5,1.1,0.15,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,7585.80298808,-2.1890000000000004e-10
J0537-6910,J0537-6910,53,58868.0,3,388.0,1,1.2,0.23,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99e-10,6.10E-21,49.7,4.93E+03,24066.1615648,-2.388e-10
B0540-69,J0540-6919,1,51335.0,12,1.4,0.2,0.133,0.002,279.717,-31.516,85.04666999999999,-69.331714,0.050569703,4.79E-13,19.77468603,-1.87e-10,3.77E-21,49.7,1.67E+03,27.684560442000002,-2.4871000000000003e-11
B0559-05,J0601-0527,1,51665.2,0.1,0.2,0.1,-0.7,0.1,212.199,-13.481,90.49573000000001,-5.4641307999999995,0.39596917,1.30E-15,2.525449143,-8.3e-15,2.42E-26,2.083,4.82E+06,0.5050898286,5.809999999999999e-15
B0559-05,J0601-0527,2,54347.0,13,0.05,0.01,0.2,0.2,212.199,-13.481,90.49573000000001,-5.4641307999999995,0.39596917,1.30E-15,2.525449143,-8.3e-15,2.42E-26,2.083,4.82E+06,0.12627245715,-1.6600000000000002e-15
J0613-0200,J0613-0200,1,50888.0,30,0.0025,0.0001,0.16,0.39,210.41299999999998,-9.305,93.43323292,-2.013121504,0.003061844,9.59E-21,326.600562,-1.02e-15,*,0.78,5.06E+09,0.8165014050000001,-1.632e-16
J0631+1036,J0631+1036,1,50183.5,0.2,4.7,0.1,-0.7,0.1,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26e-12,1.66E-22,2.105,4.36E+04,16.330784020600003,8.82e-13
J0631+1036,J0631+1036,2,50480.1,0.1,4.2,0.2,0.1,0.2,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26e-12,1.66E-22,2.105,4.36E+04,14.5934665716,-1.2600000000000002e-13
J0631+1036,J0631+1036,3,50608.277,0.001,57.3,0.1,1.2,0.1,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26e-12,1.66E-22,2.105,4.36E+04,199.0965796554,-1.512e-12
J0631+1036,J0631+1036,4,50729.0,1,1662.7,0.1,3.5,0.2,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26e-12,1.66E-22,2.105,4.36E+04,5777.275444904601,-4.41e-12
J0631+1036,J0631+1036,5,51909.7,0.1,1.4,0.1,0.26,0.04,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26e-12,1.66E-22,2.105,4.36E+04,4.8644888572,-3.2760000000000004e-13
J0631+1036,J0631+1036,6,52852.5,0.01,17.6,0.1,2.48,0.04,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26e-12,1.66E-22,2.105,4.36E+04,61.15357420480001,-3.1248e-12
J0631+1036,J0631+1036,7,53230.1,0.1,1.6,0.1,0.4,0.1,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26e-12,1.66E-22,2.105,4.36E+04,5.5594158368,-5.040000000000001e-13
J0631+1036,J0631+1036,8,53366.0,1,1.9,0.1,0.3,0.1,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26e-12,1.66E-22,2.105,4.36E+04,6.6018063062,-3.78e-13
